objective_number,objective_title,objective_repo,issue_number,issue_title,issue_repo,depth,pr_number,pr_title,pr_repo,pr_state,pr_url
721,Objective 1 - [Dashboard]: Deliver Disasters Portal MVP for User Testing,NASA-IMPACT/veda-architecture,162,Add missing sections to the Event page template,Disasters-Learning-Portal/disasters-portal,4,,,,,
721,Objective 1 - [Dashboard]: Deliver Disasters Portal MVP for User Testing,NASA-IMPACT/veda-architecture,148,Update ContentBlockRenderer to accept SectionCardSimple with any number of cards,Disasters-Learning-Portal/disasters-portal,4,149,feat: CardSimpleSection ContentBlockRenderer and section card columns [148],Disasters-Learning-Portal/disasters-portal,MERGED,https://github.com/Disasters-Learning-Portal/disasters-portal/pull/149
721,Objective 1 - [Dashboard]: Deliver Disasters Portal MVP for User Testing,NASA-IMPACT/veda-architecture,83,Set up routes for all MVP pages,Disasters-Learning-Portal/disasters-portal,3,,,,,
721,Objective 1 - [Dashboard]: Deliver Disasters Portal MVP for User Testing,NASA-IMPACT/veda-architecture,47,Add: Explore Data > Data Visualization page content,Disasters-Learning-Portal/disasters-portal,3,,,,,
721,Objective 1 - [Dashboard]: Deliver Disasters Portal MVP for User Testing,NASA-IMPACT/veda-architecture,100,Verify that https://disasters.openveda.cloud work in Microsoft Edge browser,Disasters-Learning-Portal/disasters-portal,3,,,,,
721,Objective 1 - [Dashboard]: Deliver Disasters Portal MVP for User Testing,NASA-IMPACT/veda-architecture,112,Complete Content Review (May 20th),Disasters-Learning-Portal/disasters-portal,3,,,,,
721,Objective 1 - [Dashboard]: Deliver Disasters Portal MVP for User Testing,NASA-IMPACT/veda-architecture,144,Layout / Content Changes (May 27 - June 5),Disasters-Learning-Portal/disasters-portal,3,,,,,
721,Objective 1 - [Dashboard]: Deliver Disasters Portal MVP for User Testing,NASA-IMPACT/veda-architecture,142,Update New-Events routing,Disasters-Learning-Portal/disasters-portal,4,147,feat: routing for events and stories to news events [142],Disasters-Learning-Portal/disasters-portal,MERGED,https://github.com/Disasters-Learning-Portal/disasters-portal/pull/147
721,Objective 1 - [Dashboard]: Deliver Disasters Portal MVP for User Testing,NASA-IMPACT/veda-architecture,143,Update Training - Opera video links,Disasters-Learning-Portal/disasters-portal,4,249,Update/training links,Disasters-Learning-Portal/disasters-portal,MERGED,https://github.com/Disasters-Learning-Portal/disasters-portal/pull/249
721,Objective 1 - [Dashboard]: Deliver Disasters Portal MVP for User Testing,NASA-IMPACT/veda-architecture,158,Update About Us page,Disasters-Learning-Portal/disasters-portal,4,176,feat: adding about us edits,Disasters-Learning-Portal/disasters-portal,MERGED,https://github.com/Disasters-Learning-Portal/disasters-portal/pull/176
721,Objective 1 - [Dashboard]: Deliver Disasters Portal MVP for User Testing,NASA-IMPACT/veda-architecture,159,Update href links on Respond page > Data Stories,Disasters-Learning-Portal/disasters-portal,4,180,feat: set external Respond data story links,Disasters-Learning-Portal/disasters-portal,CLOSED,https://github.com/Disasters-Learning-Portal/disasters-portal/pull/180
